	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6G_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_5G_3	0.0477789213827067	0.0433102409265089	0.0466311208181641	0.0378811772994148	0.019003101264254	0.0115931640544167	0.0164533128726132	0.0041717556411071	0.0180519705778486	0.019056123328506	0.0132282687014567	0.0508253295830492	0.0422744684313905	0.0333294934786301	0.0635956489395918	0.0692129524750293	0.0666512076981013	0.00867167819191303	0.0100893532421388	0.0101634162063008	0	0.143529825621381	0.0101563792602248	0.101937161985119	0.00986096559909459	0.0158625652995673	0.0163097282772219	0.00560466039595798	0.0138438812405064	0.0162775848421915	0.0136174096881449	0.00805714661952921	0.00357067655394188	0.00742010754812204	0.0106439967969363
OM2_C_6E_2	0.0968583067713727	0.100765813619806	0.0980214279586352	0.107220148428443	0.131363039041792	0.146308061985267	0.15695631863769	0.139924448079605	0.125778113441699	0.125271150786773	0.154834919746983	0.0938662378235333	0.10214675631964	0.110597855943129	0.0806023203839633	0.0754553357728737	0.0784706767457352	0.14548129949167	0.134870986253914	0.134830898115359	0.143529825621381	0	0.148286568081152	0.0432264740044164	0.134978206559363	0.132287491402798	0.152527964772425	0.139022403870208	0.152076007615092	0.158467942677756	0.155862125405813	0.142703926449533	0.141528868208495	0.138297479029247	0.146974052237781
OM2_C_6F_1	0.0518370451398005	0.0481102566237986	0.0516500914249863	0.0438338294927467	0.0238819033011961	0.006755301674585	0.0094129735745051	0.0121659765967688	0.0242893663416426	0.0241057255763842	0.00755434804265466	0.054856391966281	0.0466652878681624	0.0393164942419821	0.0689016009189991	0.0741742294157711	0.0716741135861956	0.00479910332123334	0.0171654066577639	0.0142456127656414	0.0101563792602248	0.148286568081152	0	0.106563738693874	0.015063056120119	0.0164706777964382	0.0198820374275251	0.0109936465522064	0.00474934700513524	0.0138725614446304	0.0119379388150564	0.00962196799568807	0.00974732843329506	0.0116964436326928	0.00177157199983969
OM2_C_6G_2	0.0552306819933146	0.0588694036080625	0.0576046543669931	0.0669607696279741	0.0888270851188719	0.104143312942852	0.115038815868403	0.098159379156918	0.0839810483475164	0.0832662882019607	0.113317485330552	0.05226118487825	0.0600891174474749	0.0693025416646941	0.0404190793561988	0.0363860701908668	0.0398293485341042	0.103494245100719	0.0929014952902814	0.0932723757169558	0.101937161985119	0.0432264740044164	0.106563738693874	0	0.0936261696910362	0.0907016080719119	0.110430597602169	0.0972602997489717	0.110197408241655	0.117315176757103	0.114668755366473	0.100550271156138	0.100038081341745	0.0968974494012783	0.105249090480576
OM2_C_6H_1	0.0389043918173317	0.0348796780740921	0.0375568505112172	0.0290996830178069	0.0180841069990665	0.0162743107783526	0.023916380142681	0.00795425968377673	0.0111377840067778	0.0120562748808169	0.0203730695472783	0.0419486017630902	0.0338495845740393	0.0250227272877003	0.0549136968620358	0.0602743395510253	0.0576405933167224	0.0135746378384366	0.00909859747421046	0.00251969574492505	0.00986096559909459	0.134978206559363	0.015063056120119	0.0936261696910362	0	0.00835507159966796	0.0252033280228658	0.00619607256536655	0.0196673647871656	0.0238327323593885	0.0211892794236925	0.0127775897820385	0.00690043353009192	0.00348377846763123	0.0143525395330706
OM2_C_6H_2	0.0356985903965379	0.0324712206026493	0.0358375220086326	0.0290473221293646	0.0185372847880474	0.0164147346847785	0.0256558132955539	0.0135503486018755	0.0126621317214386	0.0114133728295848	0.0233920258445296	0.0386930252152013	0.0309430449635306	0.0246698820020601	0.0530875003780175	0.0581449095838167	0.0556950810422336	0.0148375254687228	0.0131995710102174	0.00652498413229173	0.0158625652995673	0.132287491402798	0.0164706777964382	0.0907016080719119	0.00835507159966796	0	0.02971464666892	0.0107225137331611	0.0204604248506077	0.0283120714016429	0.0258737520083378	0.0147558896035357	0.0127799059273317	0.00931502585528991	0.0150191337661826
OM2_C_6H_3	0.0586313208220001	0.0534788214879107	0.0584181425750412	0.0499881535281249	0.0224334895591678	0.0174239032879314	0.0180595193008255	0.0172812326301836	0.0290953762172909	0.0298133195680957	0.0195076523037493	0.0615767559046972	0.0524160846593376	0.0443202079523682	0.0739753103654868	0.0800875039752991	0.0778705894183525	0.0175088990390223	0.0197111569556289	0.0248442585225698	0.0163097282772219	0.152527964772425	0.0198820374275251	0.110430597602169	0.0252033280228658	0.02971464666892	0	0.0195870067457837	0.0195089659294173	0.0212848880511785	0.0199826983734722	0.0153971953727433	0.0196952051970635	0.0232643529675768	0.0210423869302904
OM2_H_2A_1	0.0428829540788426	0.0385849723472656	0.0422856347862787	0.0340617016897995	0.0155108360539748	0.0108361354168663	0.0190227777581352	0.00303816296655007	0.0137066397749356	0.0141312673494848	0.0165775816386968	0.0459304973148371	0.0373854115639629	0.0291697246793516	0.0592589611297836	0.0648216698618551	0.0623435611820367	0.00826093869822581	0.00673107565705232	0.00535525350938021	0.00560466039595798	0.139022403870208	0.0109936465522064	0.0972602997489717	0.00619607256536655	0.0107225137331611	0.0195870067457837	0	0.0150896015368344	0.0208070247864962	0.0181703346292249	0.00669720817580968	0.00401191478136537	0.00451959326597848	0.0105663661221279
OM2_H_2A_2	0.0556993139521514	0.051991206246	0.0558994523643664	0.0482781443331361	0.0262163181035388	0.0072650973297805	0.00546794860438534	0.0159095502089375	0.0283141829208479	0.0279312796352732	0.00701995752731571	0.0586996644688266	0.0504458377408845	0.0435271071263151	0.0730054107674042	0.0782997146065029	0.075872573913548	0.00735741920518301	0.0206773925411109	0.0186874723973526	0.0138438812405064	0.152076007615092	0.00474934700513524	0.110197408241655	0.0196673647871656	0.0204604248506077	0.0195089659294173	0.0150896015368344	0	0.0137955704924522	0.0125755163669062	0.0118951393041645	0.0141520044544357	0.0163512337327125	0.00569795210164994
OM2_H_2B_2	0.062661193236409	0.058660429879005	0.0610715034362093	0.0521742986142716	0.0343196466813594	0.0190595277430144	0.0117796808405341	0.0203526628498796	0.0339361274694455	0.0347982571355228	0.00681925089400047	0.0656988155213327	0.0575911988660304	0.048561413839293	0.0784960916202969	0.0837831649246407	0.0810296202253247	0.01726188363956	0.0262973322143467	0.0243518126918464	0.0162775848421915	0.158467942677756	0.0138725614446304	0.117315176757103	0.0238327323593885	0.0283120714016429	0.0212848880511785	0.0208070247864962	0.0137955704924522	0	0.00270021343252779	0.0204474525399166	0.0175059642536465	0.020603884967549	0.0154665106161224
OM2_H_2B_3	0.0600446459151864	0.0560008960538128	0.0584705732142447	0.0495728058233759	0.0318515277890612	0.0171681123864644	0.0114264591830474	0.0177047110878284	0.0312426076206828	0.0321325891222224	0.00573064254500963	0.063084609882117	0.0549424462920885	0.045891282282513	0.0758655828510852	0.0811846859044023	0.0784462034805191	0.0151064374852337	0.02366029942336	0.0217287990108559	0.0136174096881449	0.155862125405813	0.0119379388150564	0.114668755366473	0.0211892794236925	0.0258737520083378	0.0199826983734722	0.0181703346292249	0.0125755163669062	0.00270021343252779	0	0.0181246726860464	0.014828904069612	0.0179801538784942	0.0135173283084303
OM2_H_2C_1	0.0467758953619522	0.0423965222052606	0.0470911188100773	0.0393768043181091	0.014608481204443	0.0058148551706948	0.0153001792125497	0.00678474652976897	0.0180663860103415	0.0178134382791146	0.0152141452151678	0.0497856052154295	0.0409871094400919	0.0338173120669071	0.0635869776371494	0.0692720764927449	0.0669851850380244	0.00498482631814426	0.00950582393701096	0.0113654805137694	0.00805714661952921	0.142703926449533	0.00962196799568807	0.100550271156138	0.0127775897820385	0.0147558896035357	0.0153971953727433	0.00669720817580968	0.0118951393041645	0.0204474525399166	0.0181246726860464	0	0.00884856781266682	0.0107628884818507	0.00950242094395853
OM2_H_2F_1	0.0454962269172469	0.0412973634459	0.0443256829457654	0.0357312405468433	0.0192773153006521	0.0118807505086271	0.0176663159297972	0.00463698482669518	0.0165024255308593	0.0173377092540759	0.0140327543840449	0.048545734434909	0.0402141877808594	0.0314300116366002	0.0615398084097059	0.0670026129190961	0.0643983212786465	0.00870861386633375	0.00997306977880655	0.00725315168668024	0.00357067655394188	0.141528868208495	0.00974732843329506	0.100038081341745	0.00690043353009192	0.0127799059273317	0.0196952051970635	0.00401191478136537	0.0141520044544357	0.0175059642536465	0.014828904069612	0.00884856781266682	0	0.00398337180551075	0.00972079643920271
OM2_H_2F_2	0.042109438165512	0.038151092675751	0.0409417624335642	0.0325595746392753	0.0190688908114221	0.0136182626600842	0.0205391686259213	0.00662684982059977	0.0141575321081258	0.0148110418894181	0.0169120910948701	0.0451543035691246	0.0370366474789022	0.0284580392939447	0.0583180929118668	0.0636507448977071	0.0610246652339392	0.0106695209508393	0.00991036473674266	0.00391085836785821	0.00742010754812204	0.138297479029247	0.0116964436326928	0.0968974494012783	0.00348377846763123	0.00931502585528991	0.0232643529675768	0.00451959326597848	0.0163512337327125	0.020603884967549	0.0179801538784942	0.0107628884818507	0.00398337180551075	0	0.011098115114019
OM2_H_2F_3	0.0504960550244963	0.0468782275254232	0.0504479744612284	0.0428158902697215	0.0233245820475224	0.00654002926621401	0.0108013592364716	0.0121420047445812	0.0234493893917434	0.0230955290034762	0.00918774837708934	0.0535057570592545	0.0453866905639023	0.038293002985288	0.0676976068157711	0.0729201707933356	0.0704374931505877	0.00466212076096862	0.0167833868063108	0.0133424179240589	0.0106439967969363	0.146974052237781	0.00177157199983969	0.105249090480576	0.0143525395330706	0.0150191337661826	0.0210423869302904	0.0105663661221279	0.00569795210164994	0.0154665106161224	0.0135173283084303	0.00950242094395853	0.00972079643920271	0.011098115114019	0
