	OM2_B_B_1	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_6E_1	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_C_6F_1	0.00780724667678604	0.00271197287659849	0.00870961624716884	0.00834534073041719	0.00374519063147932	0.00266061805968319	0.0120697076133852	0.010885073709865	0.000545909113599162	0.0229288752766662	0.00376536859079601	0.0010107665626525	0.014911777511758	0.000300888028409748	0.00787637400058765	0.0183415531666009	0.00921078097193131	0.00555476188484409	0.00711110234997528	0.00733613328046407	0.0267500937097452	0	0.0182774622946424	0.00309413409799731	0.0734567816353128	0.0764389237708141	0.0571696058206602	0.00153564079644189	0.00979660909003827	0.0070263949440314	0.0164926185112173	0.0503470323444532	0.00200589795539676	0.00166784390037015	0.00455889400138249
OM2_C_6F_2	0.0260834182007822	0.0209890744636433	0.0269855887005112	0.0266213947910963	0.014532616485642	0.0209377273436991	0.030344847801904	0.0291605237010534	0.0177316145133394	0.00465208872594232	0.0145124399025891	0.0172668063120776	0.00336600273201079	0.0179766085380722	0.0261525306403139	6.40983203043034e-05	0.009067210376294	0.0127231481419109	0.025387420382584	0.025612404626869	0.0450199110888018	0.0182774622946424	0	0.0151836258428288	0.0552051185913	0.0581897722990422	0.0389062651066167	0.0198129102972356	0.00848137954723844	0.0253027303839423	0.0347664442601764	0.0686024999646944	0.0162717711359379	0.0166097939133551	0.0228356965343975
OM2_C_6F_3	0.0109012893485655	0.00580609006741089	0.0118036398999523	0.0114393722719251	0.000651059150361645	0.00575473571741721	0.0151636450234779	0.0139790443019303	0.00254822647764459	0.0198352289140355	0.000671237205375464	0.00208336979581521	0.0118178324404677	0.00279324697181715	0.0109704152773875	0.0152477190188018	0.00611670732134529	0.00246064245463883	0.0102051584965973	0.010430185185381	0.0298433683410288	0.00309413409799731	0.0151836258428288	0	0.0703682040546238	0.0733508188947237	0.0540787902967375	0.00462976726116665	0.0067025454396901	0.0101204526591205	0.0195864052877162	0.0534382582586031	0.00108823848564574	0.00142629275106417	0.0076529906314248
OM2_C_6G_1	0.0812478564793422	0.0761634862172848	0.0821481582600805	0.0817847224386112	0.0697182550460207	0.0761122346162192	0.085500187945531	0.0843184614087623	0.0729118880496117	0.050557567204837	0.0696981110692475	0.0724478834733202	0.0585673240219264	0.0731564551979562	0.0813168268528837	0.0551410883962173	0.0642611165606441	0.0679116494659301	0.0805532792507552	0.0807778062909481	0.100138653511919	0.0734567816353128	0.0552051185913	0.0703682040546238	0	0.00298805619299861	0.016311198196615	0.0749894849482775	0.0636761046277731	0.0804687608589438	0.0899116169532532	0.123645277597475	0.0714545411118088	0.0717919930350824	0.0780066066826273
OM2_C_6G_2	0.0842287201373983	0.0791451981606089	0.0851288662462578	0.0847654934645546	0.0727009668906035	0.0790939548434177	0.0884803018827599	0.0872987873713973	0.0758941149889969	0.0535427517385896	0.0726808259065813	0.0754301821519682	0.0615515661316909	0.0761386441490238	0.0842976786433463	0.0581257497180057	0.0672446089680425	0.0708946264314989	0.0835342618856415	0.083758750572731	0.103115906433625	0.0764389237708141	0.0581897722990422	0.0733508188947237	0.00298805619299861	0	0.0192989160528528	0.0779713853092867	0.0666596771125624	0.0834497579045506	0.0928909143949035	0.12661702695569	0.0744369918991958	0.0747743923739731	0.0809880171764233
OM2_C_6G_3	0.064966798806027	0.0598783591721346	0.0658678511935306	0.06550411127807	0.053428383908277	0.0598270680183947	0.069222754990773	0.0680400009217854	0.0566243096764623	0.0342563366296246	0.0534082258312339	0.0561599649134689	0.0422703414616093	0.0568690570971783	0.0650358263625527	0.038842200512668	0.0479675913484652	0.0516205317771405	0.0642716486628035	0.0644963603135222	0.0838752395214848	0.0571696058206602	0.0389062651066167	0.0540787902967375	0.016311198196615	0.0192989160528528	0	0.0587034592362053	0.0473822074568843	0.0641870609238987	0.0736381572943396	0.107409383731339	0.0551659023587108	0.0555035977060581	0.06172292150877
OM2_C_6H_1	0.0062716319972386	0.0011763337809154	0.00717400878149446	0.00680973024786412	0.00528082088970478	0.00112497885893498	0.0105341346657087	0.00934948721433253	0.00208154930450453	0.0244642174828994	0.00530099875178962	0.0025464059874198	0.0164472877163057	0.00183652853032948	0.00634075984290065	0.0198769998678165	0.0107463690470444	0.00709038169823468	0.00557548269966782	0.00580051518034749	0.0252148135567609	0.00153564079644189	0.0198129102972356	0.00462976726116665	0.0749894849482775	0.0779713853092867	0.0587034592362053	0	0.0113321907572483	0.00549077472421648	0.0149571094237527	0.0488127111986048	0.00354153496610541	0.00320348184946395	0.00302326055408129
OM2_C_6H_2	0.0176033885905008	0.0125084666956137	0.0185056774121163	0.0181414351604039	0.00605149544435178	0.0124571145261437	0.0218654192886229	0.020680917387286	0.00925071713337796	0.0131332886101638	0.00603131764163593	0.00878587269703684	0.00511542743408563	0.00949573076863404	0.017672509924644	0.00854547625615078	0.000585846443705261	0.00424192723773095	0.0169073027679438	0.0171323151478083	0.0365433735453542	0.00979660909003827	0.00848137954723844	0.0067025454396901	0.0636761046277731	0.0666596771125624	0.0473822074568843	0.0113321907572483	0	0.016822602255597	0.026287752708881	0.0601332930029237	0.00779076422312776	0.00812881124733459	0.0143552806809497
OM2_C_6H_3	0.000780866620379537	0.00431445062456163	0.00168325710839924	0.00131897266826202	0.0107714871785987	0.00436580523406425	0.00504346140127867	0.00385878137707927	0.0075722939719478	0.0299535971213125	0.0107916644226748	0.0080371416871411	0.0219373752290332	0.00732727759323015	0.000849995405809008	0.0253668144443675	0.0162368113015013	0.0125809863997898	8.47088770778767e-05	0.000309743885463794	0.0197249907485111	0.0070263949440314	0.0253027303839423	0.0101204526591205	0.0804687608589438	0.0834497579045506	0.0641870609238987	0.00549077472421648	0.016822602255597	0	0.00946660526533106	0.0433260031328941	0.009032248701172	0.00869420346913445	0.00246752840337999
OM2_H_2A_2	0.00868576101080647	0.0137808599752465	0.00778339136674868	0.00814766803822295	0.0202373747985239	0.0138322115155232	0.00442321747968568	0.00560789528316571	0.0170384743014386	0.0394163233136728	0.0202575499833924	0.0175032836562591	0.0314017155427607	0.0167934775711628	0.00861663401191306	0.0348305156728173	0.0257020436068601	0.0220466787337311	0.00938189900893379	0.00915687073242014	0.0102590550886499	0.0164926185112173	0.0347664442601764	0.0195864052877162	0.0899116169532532	0.0928909143949035	0.0736381572943396	0.0149571094237527	0.026287752708881	0.00946660526533106	0	0.0338642797473951	0.0184983037835509	0.0181602887964698	0.0119340366103205
OM2_H_2B_3	0.0425456413321133	0.0476373344396363	0.0416438113928258	0.0420078724937113	0.0540886604719422	0.0476886485569409	0.0382854788505106	0.0394695377778664	0.0508924525528401	0.0732464686224365	0.0541088179168409	0.0513568855096832	0.0652417351134153	0.0506476521864305	0.0424765563543489	0.0686664933463584	0.0595481773663707	0.0558963357347179	0.0432413499054093	0.0430164616859813	0.0236081237277366	0.0503470323444532	0.0686024999646944	0.0534382582586031	0.123645277597475	0.12661702695569	0.107409383731339	0.0488127111986048	0.0601332930029237	0.0433260031328941	0.0338642797473951	0	0.0523510829111906	0.0520133500033208	0.0457918159163225
OM2_H_2C_1	0.00981309127257183	0.00471786192482938	0.0107154491961307	0.0103511785178396	0.00173929720865732	0.00466650737170345	0.0140754871947535	0.0128908739064413	0.00145998939641792	0.0209233108674727	0.00175947524527079	0.000995132092834349	0.0129060133899933	0.00170501028409444	0.00988221774434336	0.0163358635500352	0.00720492917847333	0.00354887764474863	0.00911695515441539	0.00934198350538453	0.0287554547107909	0.00200589795539676	0.0162717711359379	0.00108823848564574	0.0714545411118088	0.0744369918991958	0.0551659023587108	0.00354153496610541	0.00779076422312776	0.009032248701172	0.0184983037835509	0.0523510829111906	0	0.000338054447436038	0.00656477111866576
OM2_H_2F_1	0.00947504773719523	0.00437980990136744	0.0103774078000305	0.0100131362350952	0.0020773512324465	0.0043284552937642	0.0137374554495571	0.0125528384554055	0.00112193514109234	0.0212613131920806	0.00209752925996465	0.000657077721988374	0.0132440478062234	0.00136695610996675	0.00954417436607196	0.0166738860800747	0.00754297725544471	0.00388693047491683	0.00877891009950225	0.00900393892921044	0.0284174963747012	0.00166784390037015	0.0166097939133551	0.00142629275106417	0.0717919930350824	0.0747743923739731	0.0555035977060581	0.00320348184946395	0.00812881124733459	0.00869420346913445	0.0181602887964698	0.0520133500033208	0.000338054447436038	0	0.00622672146717749
OM2_H_2F_2	0.00324839284720357	0.00184692905441901	0.00415077951586947	0.00378649678579907	0.00830403542558009	0.00189828393749978	0.00751095728119913	0.00632628882481353	0.00510479870456321	0.027486773228503	0.0083242129996802	0.00556965165466276	0.0194702124934394	0.0048597797154987	0.00331752138948166	0.0228997832367844	0.0137694743880533	0.0101135670127122	0.00255223709471564	0.00277727155047923	0.0221921424521426	0.00455889400138249	0.0228356965343975	0.0076529906314248	0.0780066066826273	0.0809880171764233	0.06172292150877	0.00302326055408129	0.0143552806809497	0.00246752840337999	0.0119340366103205	0.0457918159163225	0.00656477111866576	0.00622672146717749	0
