	OM2_B_B_2	OM2_B_B_3	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1
OM2_C_5A_3	0.0114114576269013	0.0141265322463303	0.0483725961713251	0.0486285138974414	0.0222714215993027	0.0574994085223155	0.0450801363031163	0.0381914738984302	0.0468382717466162	0.0378593157520568	0.119454761007994	0.0294291672902562	0.0406714452323287	0.033506045228557	0.129952343049258	0.0289009519528777	0.104231309531912	0.0379841321038645	0.0221862024097825	0.0165342451401281	0	0.0309859574968841	0.0324261105442306	0.0184799997624246	0.0344193985772703	0.0342338564405413	0.0162531228499165	0.00502423337314049	0.0274378805177573	0.0387144443481628	0.0174122214489386	0.0198122288853432	0.0402483916198012	0.0395622756479292	0.0260729695642614
OM2_C_5F_2	0.0233634591964546	0.0183073778300952	0.0174309109567759	0.0180471832876704	0.0106115265626777	0.044669077307842	0.0141668600497679	0.00865743229371652	0.0196296297479165	0.0116654984737556	0.0887507779426862	0.00543011081512396	0.0100055579973095	0.00321673556612863	0.0991520893608694	0.00210367172465889	0.073383167302837	0.00746567536280008	0.00882313015167686	0.0208291799950801	0.0309859574968841	0	0.00241145523228871	0.0161440059458976	0.0034927614533707	0.00326846373959683	0.0173402911226159	0.0334808737678317	0.00375400174142424	0.00861034262927552	0.0136324159721641	0.0128653135242101	0.00980194142863287	0.00969371424275043	0.010044035521804
OM2_C_5G_2	0.0253322428557618	0.0192622045270462	0.0160136730578071	0.0162751146016082	0.0111339835666671	0.0425481168156963	0.012699047953203	0.00639471598087292	0.0202199790287306	0.00927743005911667	0.0871890069665564	0.00456436972362633	0.00952411140702539	0.00108097439368415	0.0977496095540194	0.0038678862573525	0.0721410497987197	0.00558442346645804	0.010294145220821	0.0211827950758352	0.0324261105442306	0.00241145523228871	0	0.0183319337695846	0.00334364216495607	0.00246388658761021	0.0180353111668768	0.0351596237387624	0.00585839282981848	0.00871512021993312	0.0150191294150198	0.0149657035253791	0.00954590927847718	0.00754257954089763	0.0124529554569841
OM2_C_5G_3	0.00802313107228194	0.012923889236848	0.0328301626274996	0.0339526044470956	0.0136953884147772	0.0556645364956656	0.0297567256704923	0.0247252422692668	0.0286078163346449	0.0266459259416281	0.103806341947532	0.0176437827222049	0.0242691550946489	0.0193043832824282	0.113686253500274	0.014487567499132	0.0875114099186513	0.0235812657404171	0.00981550937727445	0.0184526409891282	0.0184799997624246	0.0161440059458976	0.0183319337695846	0	0.0189701222107501	0.0192131517820325	0.0143069231504673	0.0192523862414101	0.0124743204546032	0.0219663932000095	0.00863872199505582	0.00354555346355899	0.0236440892940113	0.0258268272461312	0.00804077288933192
OM2_C_6G_1	0.026467943893472	0.0217922075310395	0.0140932528820907	0.0149876405853148	0.0139788895797159	0.0450264459079583	0.0108876830812138	0.00687903127057635	0.0168768644667899	0.0111659957453595	0.08543155805901	0.00787920117056437	0.00653804867206795	0.00290904507657805	0.0957576415528285	0.00559354464302894	0.0699335858601327	0.00494744432673715	0.0122932440754516	0.0241614966577248	0.0344193985772703	0.0034927614533707	0.00334364216495607	0.0189701222107501	0	0.00105080721249658	0.02077932406609	0.0368035039109741	0.00701901171794574	0.0054100396741807	0.0171033241072689	0.0158781923251938	0.00640413724566969	0.00750608729758087	0.0120291093496449
OM2_C_6G_3	0.0265717580975888	0.0213813080341018	0.0141656106392907	0.0148234292093434	0.0134153361893565	0.0440032743800926	0.0108986265123136	0.00610688000339238	0.0178146811194564	0.0101872684860294	0.0854934857742849	0.00702759851147187	0.00711356313586769	0.00188106355159391	0.095910786385194	0.00533564286575265	0.0701691913483178	0.00441893663709769	0.0120566126004951	0.0235438939811098	0.0342338564405413	0.00326846373959683	0.00246388658761021	0.0192131517820325	0.00105080721249658	0	0.0202736669167926	0.03674677532466	0.00698820123182027	0.00626258468904	0.0168575483180907	0.0160240632120246	0.00709344391637415	0.00687682161123223	0.0125454158926201
OM2_C_6H_1	0.0150589210773166	0.00236166609753814	0.0338546960976945	0.0335558124991202	0.00691642524749365	0.0436437783930305	0.0305442337468068	0.0229510433398305	0.0361755210369463	0.0218661960236947	0.104294475798321	0.0141622747692059	0.0273152789505307	0.0190561966739342	0.115195932534544	0.0153155803439256	0.0899126050384891	0.0232587198471562	0.0094131668547774	0.00434432750600852	0.0162531228499165	0.0173402911226159	0.0180353111668768	0.0143069231504673	0.02077932406609	0.0202736669167926	0	0.0203288487158789	0.0146540201031326	0.0259001620120927	0.00609147548001727	0.0122922284179287	0.0271399352771499	0.0243751126066178	0.0175090531670061
OM2_C_6H_2	0.0113180469781805	0.0180539307163379	0.0508779907325832	0.0514195716625689	0.0257339032264512	0.0623834008107151	0.0476352668675068	0.041198100439247	0.0478277991239746	0.0413665395326785	0.122059811282728	0.0326168855095877	0.0427919177625348	0.0362353389930716	0.132282024939629	0.0314541827608163	0.106339595297767	0.0407388143217972	0.0248828183250242	0.0211799750367079	0.00502423337314049	0.0334808737678317	0.0351596237387624	0.0192523862414101	0.0368035039109741	0.03674677532466	0.0203288487158789	0	0.0297936236918182	0.0406719761347914	0.020318697736794	0.0213526132356727	0.0422811211032624	0.0425207850306235	0.0272386973660244
OM2_C_6H_3	0.0196102754420039	0.0152903065754706	0.0210990041022747	0.021796841340033	0.00847893216440001	0.0463884262465478	0.0178629934073186	0.0122525623890492	0.0215651747424772	0.0145879851560393	0.092417212417242	0.00639859930750294	0.013274029473925	0.00683915316390776	0.102741483213307	0.00205118231051402	0.0768936785658596	0.0112110021684895	0.00549139316485696	0.0185066160810671	0.0274378805177573	0.00375400174142424	0.00585839282981848	0.0124743204546032	0.00701901171794574	0.00698820123182027	0.0146540201031326	0.0297936236918182	0	0.0114945471534331	0.0102391645994454	0.00913402872309002	0.0129180988855562	0.0133691510471742	0.00726274161707345
OM2_H_2A_1	0.0298563776347263	0.0267315730279387	0.0113310672801914	0.0133396391094204	0.019220666734472	0.0485596543161187	0.00879430746371195	0.00955789744154237	0.0116210110634041	0.014687571491436	0.0819246494290084	0.0132749957876207	0.00250309640439953	0.00807298753943006	0.0918888587213399	0.0105878861782077	0.0657955509432663	0.00711804520422813	0.0169830322802545	0.0294368109286834	0.0387144443481628	0.00861034262927552	0.00871512021993312	0.0219663932000095	0.0054100396741807	0.00626258468904	0.0259001620120927	0.0406719761347914	0.0114945471534331	0	0.0217201179077663	0.0193503232405172	0.00170838001292372	0.00934113864644934	0.0141495552795831
OM2_H_2A_3	0.0118817365946113	0.0055933033148704	0.0309813242551122	0.0312543537969702	0.0059904327532578	0.047479966760196	0.0276821012469139	0.0209053634503574	0.0311392027511821	0.0212377002198817	0.102146219003457	0.0123210605746274	0.0234953806014695	0.0160997560688819	0.112666652861127	0.0115331110506169	0.0869752496920606	0.0205865493863722	0.00481074895010081	0.0104313248451995	0.0174122214489386	0.0136324159721641	0.0150191294150198	0.00863872199505582	0.0171033241072689	0.0168575483180907	0.00609147548001727	0.020318697736794	0.0102391645994454	0.0217201179077663	0	0.00622762259619719	0.0231555055884687	0.0222468836181976	0.0115735774341736
OM2_H_2B_1	0.0106065296094059	0.0114096731879483	0.029897044393817	0.0308347140675699	0.0104572570064553	0.0523685237809164	0.0267485696855903	0.0213517224220038	0.0270760437884782	0.0231220441150538	0.101078385047033	0.0141014162626195	0.0215351839222079	0.0159679088452822	0.111144610352117	0.0111004349012489	0.0850870364216987	0.0203299217191948	0.00632983799127438	0.0166110388601269	0.0198122288853432	0.0128653135242101	0.0149657035253791	0.00354555346355899	0.0158781923251938	0.0160240632120246	0.0122922284179287	0.0213526132356727	0.00913402872309002	0.0193503232405172	0.00622762259619719	0	0.0209825333399037	0.0224968142899516	0.00637104088802207
OM2_H_2B_2	0.0315129380521733	0.0280627118568787	0.00964751095924933	0.0117680054777798	0.0203750200646977	0.0480537572114929	0.00722954717323324	0.0092240418193847	0.0113901132659624	0.014421432497116	0.0802511458649722	0.0140911238894888	0.000923774873582017	0.00876229825211595	0.0902556461129641	0.0118497667881416	0.064196146647461	0.00686430660749637	0.0183841114888015	0.0305631156050052	0.0402483916198012	0.00980194142863287	0.00954590927847718	0.0236440892940113	0.00640413724566969	0.00709344391637415	0.0271399352771499	0.0422811211032624	0.0129180988855562	0.00170838001292372	0.0231555055884687	0.0209825333399037	0	0.00875902589668351	0.0158517215673349
OM2_H_2B_3	0.0328646612415127	0.0259358680250844	0.0098726565115283	0.00918484123313885	0.017560291491185	0.0393048746033281	0.00677608197116761	0.00143199613122005	0.0198970214591308	0.00593814563689556	0.0801318001477131	0.0102470049411811	0.00804520864917513	0.00653051899525405	0.0909421288175722	0.0114088128727798	0.0656581773328999	0.00260226195066563	0.0176639324232807	0.0268527579875816	0.0395622756479292	0.00969371424275043	0.00754257954089763	0.0258268272461312	0.00750608729758087	0.00687682161123223	0.0243751126066178	0.0425207850306235	0.0133691510471742	0.00934113864644934	0.0222468836181976	0.0224968142899516	0.00875902589668351	0	0.0194192837994685
OM2_H_2C_1	0.0160623821951205	0.0171398096246232	0.0252884347260438	0.0267453293500962	0.0134114247359577	0.0535617847181599	0.0223691265838228	0.0185540006715999	0.0207784339002608	0.021627125692228	0.0959684041462388	0.013639151516205	0.01654588235543	0.0132070052117255	0.105748404611463	0.00915494957578079	0.0795191412827924	0.0169390252839828	0.00885562001433781	0.0218256327971696	0.0260729695642614	0.010044035521804	0.0124529554569841	0.00804077288933192	0.0120291093496449	0.0125454158926201	0.0175090531670061	0.0272386973660244	0.00726274161707345	0.0141495552795831	0.0115735774341736	0.00637104088802207	0.0158517215673349	0.0194192837994685	0
