	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_3	OM1_H_1C_3	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_3
OM1_C_3D_3	0.0282755995039106	0.0127079017491255	0.00182434198842988	0.088334161980702	0.0360288571070761	0.0135939478157174	0.0196523914473686	0.026906070705386	0.0254694847877735	0.00549161974881362	0.0337727689227121	0.0101315560083694	0.0259475019185323	0.00927551628945621	0.0104010802161425	0.0181241078642218	0.0199213406164456	0.00432630574829909	0.00830982756467205	0.0299804741478566	0	0.00946391326687233	0.00288513464246584	0.0288468450827478	0.0144853609947687	0.0225290743635889	0.0227139751795879	0.0160613166012623	0.0225956214289169	0.0171440513729984	0.000405669156945154
OM1_C_3E_1	0.0198375615904138	0.00433039982013392	0.00795133982180378	0.0967058719535436	0.0287611761080846	0.00925044551672998	0.028958137201804	0.0363028963795807	0.0341581515241548	0.0142876219147547	0.0411331488805369	0.0192058435360602	0.034694437541531	0.0052904339569726	0.00404894565069196	0.0251702708753085	0.0260282283249941	0.0128079851981333	0.0174086289280037	0.0386296995067375	0.00946391326687233	0	0.00662559845735738	0.0370604534674469	0.0235370339688981	0.0289169085638453	0.0317834943832342	0.0217100944220203	0.0315039765700688	0.0248430943169595	0.00976177617164886
OM1_C_3E_2	0.0258402307598793	0.0101315914456771	0.00137905053788955	0.0906355179103472	0.0339889152053457	0.0120086999686163	0.0223646788695341	0.0296851020422737	0.0278591644363168	0.00816689270621484	0.0356085607001233	0.0126812499302997	0.0283661317178173	0.00736290332609582	0.00808374839178937	0.0197376661408874	0.0218547761872844	0.00641159807179042	0.0108661782506445	0.0323598402563953	0.00288513464246584	0.00662559845735738	0	0.031026976147254	0.0170368988837077	0.0239128247956265	0.0252911721519389	0.0170564598380934	0.0250881310673689	0.0190369763575952	0.00315010446755391
OM1_C_3E_3	0.0567917442825057	0.0410605787665063	0.0296670775729344	0.0597418972878741	0.0648430273529878	0.0423268279127218	0.0127697559962888	0.0128779881452228	0.00469812483912228	0.0274393166265584	0.00717588997988968	0.0190143643328208	0.00480400668605094	0.038115743676436	0.03909647513182	0.0126682296678697	0.0360810400502564	0.0246513410840883	0.0207453783860673	0.003667393542061	0.0288468450827478	0.0370604534674469	0.031026976147254	0	0.0150237310230913	0.011516379740509	0.00889575782560501	0.0174076896753199	0.0078655564485048	0.0123065315289791	0.028446935261107
OM1_C_3F_2	0.0427528686705809	0.0271445620790727	0.0156625389748489	0.0740200140642953	0.0502383130810326	0.0276047091614884	0.00581718500532572	0.0133286370881732	0.0111372199131272	0.0124239703445353	0.0210496603176278	0.00436068763563906	0.0115575881143952	0.023654729324004	0.0248835365986422	0.00897263152832931	0.0227863646884937	0.0107360219710655	0.00618301395110468	0.0156296488286198	0.0144853609947687	0.0235370339688981	0.0170368988837077	0.0150237310230913	0	0.0133099931591262	0.00825647706913823	0.0115878035014322	0.00812797356104801	0.0066161967023964	0.0141096356589409
OM1_C_3F_3	0.0486370558860204	0.0331948868394394	0.0227088352086138	0.0691010156192038	0.0575920795450744	0.0358970523621614	0.0157611271638267	0.0205713564319247	0.0122224177986827	0.0233342686898759	0.0126798073350495	0.0150789723655758	0.012893746275733	0.0312701665789439	0.031759460318148	0.00472136373428237	0.0359082532361136	0.0182665899046313	0.0161599535983913	0.0148329341688862	0.0225290743635889	0.0289169085638453	0.0239128247956265	0.011516379740509	0.0133099931591262	0	0.0140671215986923	0.00728103662571678	0.0126245678363563	0.00676775967595448	0.0221329814204392
OM1_H_1B_3	0.0509628247873228	0.0353908545169409	0.0239174624918602	0.0660616130651674	0.0582411649425662	0.0356117888883205	0.00400064841087955	0.00664133995130322	0.00419944399338434	0.020105474263582	0.015984193563314	0.0126126942544185	0.00422833201179222	0.0318139814188441	0.0331001100676431	0.0119061179025039	0.0272576063509771	0.0189794595560494	0.0144318591868729	0.00806126929062306	0.0227139751795879	0.0317834943832342	0.0252911721519389	0.00889575782560501	0.00825647706913823	0.0140671215986923	0	0.0164273665871492	0.00148106097233734	0.00999016994594768	0.0223438636255442
OM1_H_1C_3	0.0413824861924974	0.0260120305176418	0.0159508495235759	0.0761976170006883	0.0504386666048615	0.0290528602382828	0.0163350953273683	0.0229624842076143	0.0163904693156279	0.0179926779419694	0.0198671022789186	0.0110861525354297	0.0170760597153204	0.0243575139117797	0.0247017120197951	0.00487963488177617	0.0320349848752562	0.0120498292397125	0.0114336049526723	0.0201171359490462	0.0160613166012623	0.0217100944220203	0.0170564598380934	0.0174076896753199	0.0115878035014322	0.00728103662571678	0.0164273665871492	0	0.0152973158544906	0.00643774552661765	0.0156870064155999
OM1_H_1D_2	0.0508538351167964	0.0352125835156686	0.0237098780248665	0.0659298245616376	0.0583318910848603	0.0356987697717404	0.00491599137269161	0.00799437696799757	0.003289172596018	0.0203273180328077	0.0148288819156358	0.0124660639613067	0.00354113551133008	0.031779876102134	0.0329929652923055	0.0106646166851707	0.0282212003717032	0.0187155078288211	0.0142870139082834	0.00759910621340473	0.0225956214289169	0.0315039765700688	0.0250881310673689	0.0078655564485048	0.00812797356104801	0.0126245678363563	0.00148106097233734	0.0152973158544906	0	0.00888302193355819	0.0222154177870108
OM1_H_1D_3	0.0446443152240864	0.0289271867706184	0.0177136222693147	0.0719727426891657	0.0530073135512754	0.0307331074843168	0.0101994327293889	0.0165400813861626	0.0103052033069163	0.0170319955404145	0.0166334166081365	0.00850435216118298	0.0109658806541427	0.0263040643759283	0.0271090683268284	0.00240850475667357	0.0291469308622079	0.0128270223048673	0.00981297806970055	0.0144113734353746	0.0171440513729984	0.0248430943169595	0.0190369763575952	0.0123065315289791	0.0066161967023964	0.00676775967595448	0.00999016994594768	0.00643774552661765	0.00888302193355819	0	0.0167384447625733
OM1_H_1G_3	0.0286535177620614	0.0130656491962117	0.00197284940076286	0.0879434367303434	0.0364294663543987	0.0139995424818273	0.0193055392334488	0.0265785766828676	0.0250806464557134	0.00543075190281962	0.0333673154498451	0.00975314786444902	0.0255610110132808	0.0096742774303925	0.0107815407241171	0.017722038071562	0.0200173428290664	0.0039214729173032	0.00793056984626838	0.0295914264845694	0.000405669156945154	0.00976177617164886	0.00315010446755391	0.028446935261107	0.0141096356589409	0.0221329814204392	0.0223438636255442	0.0156870064155999	0.0222154177870108	0.0167384447625733	0
