	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2H_3	0.00796160506597754	0.039315265458916	0.00804362794033047	0.010829603703134	0.0174929462295689	0.0334061554762723	0.039530527581971	0.0351216325353446	0.00200317991440152	0.0222032487464189	0.0130009529112157	0.00633059431032915	0.0120308223323447	0.00423068197829124	0.00899609097049776	0.0430774475799007	0.0213725634113919	0.0095273155213059	0.00870691175063883	0.0102750311107749	0	0.0118819458284168	0.0210519833418086	0.0134888278597042	0.0153640309296237	0.0405525133372383	0.0146807970903003	0.0161630361821092	0.029852567648357	0.0131070761791439	0.00151849943875852	0.00786985064180846
OM1_C_3E_1	0.0165139550698025	0.0470999636607439	0.0173233698498211	0.00154453164615507	0.0075225198769406	0.0237377651614825	0.0309168178153998	0.0442640354325601	0.0134268467473359	0.0286321660600639	0.0212295397958195	0.006357292278325	0.00307487160350445	0.00969548185911256	0.0071538134661527	0.0344106661508892	0.0303725773391981	0.0126388304275854	0.0154618418493191	0.00216452055472463	0.0118819458284168	0	0.0102011393796277	0.00637014579639113	0.0138002624845375	0.0499714592518951	0.0223386356168611	0.0223574675871268	0.0380098889178591	0.0205648745814206	0.0104308922123367	0.00482039298169076
OM1_C_3E_2	0.0266433693193565	0.0572052769873794	0.0273949043828725	0.0105920324260175	0.00377753001078847	0.013706993016814	0.0212570107637824	0.0544525485637021	0.0228649558697782	0.0386822288154157	0.0314224106670291	0.0164282409181714	0.00903165468267521	0.0197066592529749	0.0172324832628639	0.0246563177346675	0.0405605207386997	0.0227464616501403	0.0256597432005949	0.0123627577832679	0.0210519833418086	0.0102011393796277	0	0.00833747500414865	0.022734826556804	0.0601518866887889	0.0325334639523017	0.0324664089775482	0.0481779501035951	0.030761047491204	0.0197846547087767	0.0131834931871446
OM1_C_3E_3	0.020202252038504	0.0516792060134448	0.0207381638793466	0.0054082795914707	0.00456345942032692	0.019924395682666	0.0262999674568189	0.0481575012211755	0.0154374459551639	0.0335460956814764	0.0252789176975508	0.0104610050413225	0.00331522983555127	0.0132593230396991	0.0126752157488964	0.0298495855910594	0.0342453525651776	0.0177620351802128	0.0197517093055713	0.00790149730368454	0.0134888278597042	0.00637014579639113	0.00833747500414865	0	0.0199813352652603	0.0537198142897064	0.0266567888226152	0.0271994739113386	0.042366097200232	0.0248987721414552	0.012445328181234	0.00603735393384824
OM1_C_3F_3	0.0121833244393544	0.0357859898754171	0.0133536460279166	0.0145737700380007	0.0210164504715715	0.0363521757534584	0.0439816550449109	0.0345754578478345	0.015084391839241	0.0174127892904419	0.0138686097852272	0.0111457991192864	0.016697876609451	0.0112146006027437	0.00782729087743231	0.0473744573358955	0.0217641101078337	0.00637583564651444	0.00989469980242207	0.0120819417272892	0.0153640309296237	0.0138002624845375	0.022734826556804	0.0199813352652603	0	0.040381584238409	0.0138516550705999	0.012206484734393	0.027552942321203	0.0125227275939864	0.0142953408109727	0.0153574232312248
OM1_H_1B_1	0.0336242875699636	0.00908782317757561	0.0330082223728309	0.0496574664778665	0.0571040116745682	0.0734224825362231	0.0799435582038317	0.00581724242621083	0.0385508000474425	0.0231109504980367	0.0287572911799411	0.0437970937375842	0.0515077520912557	0.040626032977812	0.0431439200018142	0.0834856176470668	0.0196155185370996	0.0377412742578767	0.0345258916176222	0.047819180176114	0.0405525133372383	0.0499714592518951	0.0601518866887889	0.0537198142897064	0.040381584238409	0	0.0277345849805039	0.0283952914655101	0.012976228298114	0.0294862723491284	0.0413690027086656	0.0477208865495678
OM1_H_1B_2	0.00674280664914662	0.0250402012308096	0.00671756350766519	0.0221531258667534	0.0296439779968764	0.0459962885197104	0.0528660656408527	0.0219763219993626	0.0128671841628291	0.00760241843597776	0.00182651065732813	0.0163392722108728	0.0241193286905883	0.0134088515871326	0.0154208687384678	0.05640096607514	0.00825113772576465	0.0100325551761109	0.00693843515360044	0.0201754679996099	0.0146807970903003	0.0223386356168611	0.0325334639523017	0.0266567888226152	0.0138516550705999	0.0277345849805039	0	0.00292305215598712	0.0157433780142391	0.00177687999011506	0.0149695992742367	0.0206360760999331
OM1_H_1D_1	0.00829942778812475	0.0247615659793421	0.00863710096960378	0.0223738442524854	0.0298179436030594	0.0460817112936464	0.0531809146966562	0.0225821212527173	0.0145196664313151	0.00634907603919202	0.00444210723218552	0.0167445398153289	0.0244375285461644	0.0141698730852783	0.0152397211616015	0.0566945475315926	0.00959574953648939	0.00972656080987052	0.00766458294383874	0.0202062207399821	0.0161630361821092	0.0223574675871268	0.0324664089775482	0.0271994739113386	0.012206484734393	0.0283952914655101	0.00292305215598712	0	0.0158377888462642	0.00341192356555845	0.0161995451577062	0.0212739986055903
OM1_H_1D_2	0.0222345552215002	0.009480904473351	0.0218721923285019	0.037878681677761	0.0453647609471162	0.0616959463333739	0.0685814325250645	0.00730090916487675	0.0278962375880938	0.0101743752691073	0.0171068079956739	0.0320785241276571	0.0398551945713563	0.0291140219613652	0.0309766217188145	0.0721143615525222	0.00867818174237691	0.025476738629801	0.0226804556427073	0.0358473017264395	0.029852567648357	0.0380098889178591	0.0481779501035951	0.042366097200232	0.027552942321203	0.012976228298114	0.0157433780142391	0.0158377888462642	0	0.0175165291186387	0.0303945380539431	0.0363372819848191
OM1_H_1G_1	0.00514627941041101	0.0267954781378239	0.00530639992149802	0.0203768559052564	0.0278680227845862	0.0442210798879567	0.0510981792145842	0.023737013440429	0.0113553488479054	0.00909723338758219	0.00145682610369853	0.0145657953121881	0.022345766754302	0.0116599603247138	0.0136670734527749	0.0546325091074002	0.00995329436548112	0.00832029484590809	0.00516540954859589	0.0184019714674438	0.0131070761791439	0.0205648745814206	0.030761047491204	0.0248987721414552	0.0125227275939864	0.0294862723491284	0.00177687999011506	0.00341192356555845	0.0175165291186387	0	0.0133167511540526	0.018883458688381
OM1_H_1G_2	0.00823665486258632	0.0398280327179339	0.00852749448141785	0.00943582510529682	0.0162895663216107	0.0323525773609876	0.0386410955882736	0.035870788345607	0.00308136663592892	0.0223762097998296	0.0133750574921369	0.00481843185349464	0.0107543350032438	0.00308356222074377	0.00759683036142422	0.0421910951895831	0.0220273310201267	0.00875444843691646	0.00857764365781886	0.00877610675821194	0.00151849943875852	0.0104308922123367	0.0197846547087767	0.012445328181234	0.0142953408109727	0.0413690027086656	0.0149695992742367	0.0161995451577062	0.0303945380539431	0.0133167511540526	0	0.0066294029983051
OM1_H_1G_3	0.0141676596612446	0.0456659884647054	0.0147241515345098	0.00338203034316944	0.00966086474107018	0.0258097948081935	0.0323303731163003	0.0421394141219296	0.00970209047658804	0.0276167346260882	0.0192439162479684	0.00467620058987904	0.00416553545084138	0.00722933088435216	0.00756561905910681	0.0358783071661883	0.0282179447198045	0.0120661677377557	0.0137512298635962	0.00436948306092856	0.00786985064180846	0.00482039298169076	0.0131834931871446	0.00603735393384824	0.0153574232312248	0.0477208865495678	0.0206360760999331	0.0212739986055903	0.0363372819848191	0.018883458688381	0.0066294029983051	0
