u	mu	n	divs	mean_l1	l1_95	l1_05	exp_l1
40	4e-4	50 tracts	200	0.077306	0.135025	0.02899999999999999	0.08
40	4e-4	50 tracts	201	0.077897	0.136025	0.03	0.0804
40	4e-4	50 tracts	202	0.078339	0.137	0.03	0.08080000000000001
40	4e-4	50 tracts	203	0.07897	0.138	0.03	0.08120000000000001
40	4e-4	50 tracts	204	0.079142	0.138	0.03	0.0816
40	4e-4	50 tracts	205	0.079492	0.139	0.030975	0.082
40	4e-4	50 tracts	206	0.079764	0.14	0.030975	0.0824
40	4e-4	50 tracts	207	0.079987	0.141	0.030975	0.0828
40	4e-4	50 tracts	208	0.080207	0.141	0.030975	0.08320000000000001
40	4e-4	50 tracts	209	0.08072900000000001	0.141	0.03197499999999999	0.08360000000000001
40	4e-4	50 tracts	210	0.081137	0.141	0.03197499999999999	0.084
40	4e-4	50 tracts	211	0.081275	0.141	0.03197499999999999	0.0844
40	4e-4	50 tracts	212	0.081579	0.141	0.03197499999999999	0.0848
40	4e-4	50 tracts	213	0.081829	0.141	0.03197499999999999	0.0852
40	4e-4	50 tracts	214	0.082433	0.141	0.03197499999999999	0.08560000000000001
40	4e-4	50 tracts	215	0.082884	0.14200000000000002	0.03197499999999999	0.08600000000000001
40	4e-4	50 tracts	216	0.083305	0.14200000000000002	0.03197499999999999	0.0864
40	4e-4	50 tracts	217	0.083672	0.14300000000000002	0.032975	0.0868
40	4e-4	50 tracts	218	0.084181	0.14300000000000002	0.032975	0.0872
40	4e-4	50 tracts	219	0.08465	0.144	0.032975	0.0876
40	4e-4	50 tracts	220	0.084909	0.145	0.032975	0.08800000000000001
40	4e-4	50 tracts	221	0.085328	0.146	0.033975	0.0884
40	4e-4	50 tracts	222	0.085592	0.147	0.03495	0.0888
40	4e-4	50 tracts	223	0.08585699999999999	0.148	0.03595	0.0892
40	4e-4	50 tracts	224	0.086312	0.149	0.03695	0.0896
40	4e-4	50 tracts	225	0.086798	0.149	0.036975	0.09000000000000001
40	4e-4	50 tracts	226	0.08685999999999999	0.149	0.036975	0.0904
40	4e-4	50 tracts	227	0.087298	0.149	0.036975	0.0908
40	4e-4	50 tracts	228	0.087695	0.15	0.037975	0.0912
40	4e-4	50 tracts	229	0.087907	0.151	0.037975	0.0916
40	4e-4	50 tracts	230	0.088322	0.151	0.038975	0.092
40	4e-4	50 tracts	231	0.088773	0.15102499999999996	0.038975	0.0924
40	4e-4	50 tracts	232	0.089196	0.15102499999999996	0.039	0.0928
