sample	length	marker	subject
MSI1A3	0.0033840555397426364	Nax49LA	MSI1
MSI1A333	0.015067500308384218	Nax49LA	MSI1
MSI1A33311	0.015362084912196927	Nax49LA	MSI1
MSI1A33322	-0.034116375836544144	Nax49LA	MSI1
MSI1A3333C	0.0074117193111056245	Nax49LA	MSI1
MSI1B2	2.3468148904060016e-4	Nax49LA	MSI1
MSI1B214	-0.012862846291087138	Nax49LA	MSI1
MSI1B21418	0.01800882243895785	Nax49LA	MSI1
MSI1B21419	-0.02593484995591	Nax49LA	MSI1
MSI1B21435	0.0065507146234131675	Nax49LA	MSI1
MSI1C9	0.01147433439716794	Nax49LA	MSI1
MSI1C931	0.009963019414986007	Nax49LA	MSI1
MSI1C93113	-0.002624970461868603	Nax49LA	MSI1
MSI1C93133	-6.141661900018747e-4	Nax49LA	MSI1
MSI1M2	0	Nax49LA	MSI1
MSI1A3	0.07081784253453938	Nax49UA	MSI1
MSI1A333	0.10897669535321475	Nax49UA	MSI1
MSI1A33311	-0.6147502029515461	Nax49UA	MSI1
MSI1A33322	-0.045678974874129086	Nax49UA	MSI1
MSI1A3333C	-0.005925943116376509	Nax49UA	MSI1
MSI1B2	0.044013577223806166	Nax49UA	MSI1
MSI1B214	0.014762217435943192	Nax49UA	MSI1
MSI1B21418	0.06152055666242484	Nax49UA	MSI1
MSI1B21419	0.013292050434677627	Nax49UA	MSI1
MSI1B21435	0.010131369617845554	Nax49UA	MSI1
MSI1C9	-0.05633307839277091	Nax49UA	MSI1
MSI1C931	0.013976527499243385	Nax49UA	MSI1
MSI1C93113	-0.4308126669473169	Nax49UA	MSI1
MSI1C93133	0.09190470539882067	Nax49UA	MSI1
MSI1M2	0	Nax49UA	MSI1
MSI1A3	-0.019770251042779297	Nax4	MSI1
MSI1A333	-0.020120556932441414	Nax4	MSI1
MSI1A33311	-0.021547936241657295	Nax4	MSI1
MSI1A33322	-0.012587332276966512	Nax4	MSI1
MSI1A3333C	-0.016970457283895124	Nax4	MSI1
MSI1B2	-0.019717547939983815	Nax4	MSI1
MSI1B214	-0.012813977201332039	Nax4	MSI1
MSI1B21418	0.15979868452121693	Nax4	MSI1
MSI1B21419	-0.017141797542242987	Nax4	MSI1
MSI1B21435	-0.031278686731276206	Nax4	MSI1
MSI1C9	-0.024578369659867816	Nax4	MSI1
MSI1C931	-0.013053993445016232	Nax4	MSI1
MSI1C93113	-0.016677396993660887	Nax4	MSI1
MSI1C93133	-0.024215080508727116	Nax4	MSI1
MSI1M2	0	Nax4	MSI1
MSI1A3	-0.033201222780283146	Nax50	MSI1
MSI1A333	0.30066244078623816	Nax50	MSI1
MSI1A33311	0.12530551727292716	Nax50	MSI1
MSI1A33322	0.32645507123243345	Nax50	MSI1
MSI1A3333C	0.03984134659868355	Nax50	MSI1
MSI1B2	-0.07228287692131286	Nax50	MSI1
MSI1B214	0.427161459277813	Nax50	MSI1
MSI1B21418	0.35751538428754914	Nax50	MSI1
MSI1B21419	0.30976265302341144	Nax50	MSI1
MSI1B21435	0.3538535355187036	Nax50	MSI1
MSI1C9	-0.018456162094886874	Nax50	MSI1
MSI1C931	-0.20538005018756866	Nax50	MSI1
MSI1C93113	-0.04154055069120144	Nax50	MSI1
MSI1C93133	-0.25116567135763335	Nax50	MSI1
MSI1M2	0	Nax50	MSI1
MSI1A3	0.0010540513682000263	Nax51LA	MSI1
MSI1A333	-5.778985707416417e-4	Nax51LA	MSI1
MSI1A33311	0.09575603461428184	Nax51LA	MSI1
MSI1A33322	-9.272357145497789e-4	Nax51LA	MSI1
MSI1A3333C	0.006774275459341617	Nax51LA	MSI1
MSI1B2	0.002739225928502176	Nax51LA	MSI1
MSI1B214	-0.006188880597117086	Nax51LA	MSI1
MSI1B21418	0.006141362067769052	Nax51LA	MSI1
MSI1B21419	0.011418297460403348	Nax51LA	MSI1
MSI1B21435	0.0019359924103576898	Nax51LA	MSI1
MSI1C9	0.019822766482930687	Nax51LA	MSI1
MSI1C931	0.008920627596854747	Nax51LA	MSI1
MSI1C93113	-0.010222506192896663	Nax51LA	MSI1
MSI1C93133	8.318630315975462e-4	Nax51LA	MSI1
MSI1M2	0	Nax51LA	MSI1
MSI1A3	0.018166413038327667	Nax51UA	MSI1
MSI1A333	0.016346292233654136	Nax51UA	MSI1
MSI1A33311	-0.823899833409024	Nax51UA	MSI1
MSI1A33322	0.002513990960566259	Nax51UA	MSI1
MSI1A3333C	-0.0069297194264636985	Nax51UA	MSI1
MSI1B2	0.022513480600116154	Nax51UA	MSI1
MSI1B214	0.02149167741560154	Nax51UA	MSI1
MSI1B21418	0.008415331955875516	Nax51UA	MSI1
MSI1B21419	0.012984908035633902	Nax51UA	MSI1
MSI1B21435	0.016785594915189384	Nax51UA	MSI1
MSI1C9	0.06083927812574563	Nax51UA	MSI1
MSI1C931	0.019612178613239273	Nax51UA	MSI1
MSI1C93113	0.029790990651515692	Nax51UA	MSI1
MSI1C93133	0.018105595525364615	Nax51UA	MSI1
MSI1M2	0	Nax51UA	MSI1
MSI1A3	0.04544566773425074	Nax53LA	MSI1
MSI1A333	-0.014665331502391243	Nax53LA	MSI1
MSI1A33311	0.05107629574319539	Nax53LA	MSI1
MSI1A33322	-0.0033937986323056	Nax53LA	MSI1
MSI1A3333C	0.02300959519947532	Nax53LA	MSI1
