samples	mrca	comparison	subject
C98M2	1839.4604601097824	met_primary	C98
C99P1a_C99P1b	2058.3647133104014	primary_primary	C99
C99P1a_C99P1c	2314.7958097727114	primary_primary	C99
C99P1a_C99P1d	2314.7958097727114	primary_primary	C99
C99P1a_C99P1e	2314.7958097727114	primary_primary	C99
C99P1a_C99P1f	2374.559721447812	primary_primary	C99
C99P1a_C99P1g	2252.2083720211413	primary_primary	C99
C99P1a_C99P1h	1864.9927560449523	primary_primary	C99
C99P1b_C99P1c	2058.3647133104014	primary_primary	C99
C99P1b_C99P1d	2058.3647133104014	primary_primary	C99
C99P1b_C99P1e	2058.3647133104014	primary_primary	C99
C99P1b_C99P1f	2058.3647133104014	primary_primary	C99
C99P1b_C99P1g	2058.3647133104014	primary_primary	C99
C99P1b_C99P1h	1864.9927560449523	primary_primary	C99
C99P1c_C99P1d	2696.010795430705	primary_primary	C99
C99P1c_C99P1e	2414.872183789234	primary_primary	C99
C99P1c_C99P1f	2314.7958097727114	primary_primary	C99
C99P1c_C99P1g	2252.2083720211413	primary_primary	C99
C99P1c_C99P1h	1864.9927560449523	primary_primary	C99
C99P1d_C99P1e	2414.872183789234	primary_primary	C99
C99P1d_C99P1f	2314.7958097727114	primary_primary	C99
C99P1d_C99P1g	2252.2083720211413	primary_primary	C99
C99P1d_C99P1h	1864.9927560449523	primary_primary	C99
C99P1e_C99P1f	2314.7958097727114	primary_primary	C99
C99P1e_C99P1g	2252.2083720211413	primary_primary	C99
C99P1e_C99P1h	1864.9927560449523	primary_primary	C99
C99P1f_C99P1g	2252.2083720211413	primary_primary	C99
C99P1f_C99P1h	1864.9927560449523	primary_primary	C99
C99P1g_C99P1h	1864.9927560449523	primary_primary	C99
C99L1	1966.6147108154341	met_primary	C99
C99M1	2628.302719311247	met_primary	C99
C99M2	2628.302719311247	met_primary	C99
C12P8_C12P9	4427.994025370729	primary_primary	C12
C12P8_C12P10	4919.943450238634	primary_primary	C12
C12P8_C12P3	4919.943450238634	primary_primary	C12
C12P8_C12P1	4692.884037232867	primary_primary	C12
C12P8_C12P2	4919.943450238634	primary_primary	C12
C12P8_C12P4	4708.504499388846	primary_primary	C12
C12P8_C12P5	4919.943450238634	primary_primary	C12
C12P8_C12P6	4919.943450238634	primary_primary	C12
C12P8_C12P7	4919.943450238634	primary_primary	C12
C12P9_C12P10	4427.994025370729	primary_primary	C12
C12P9_C12P3	4427.994025370729	primary_primary	C12
