a	b	l1	r	marker	divs
C93L4	C93P1g	0.1743931363011278	0.8535994933326759	21	1849.0713834137061
C93L5	C93L6	0.15892863413962582	0.8419641872595024	21	1685.1029554579336
C93L5	C93N1	0.26946124424646345	NA	21	2857.068152125231
C93L5	C93N2	0.2760312107772501	-0.07342963945654667	21	2926.728789921702
C93L5	C93P1a	0.1365540008985549	0.926497291136692	21	1447.8671621351791
C93L5	C93P1c	0.13524105613041226	0.944364729250344	21	1433.946152109972
C93L5	C93P1g	0.13378178812868957	0.917405596734139	21	1418.4736928151433
C93L6	C93N1	0.22573100762362563	NA	21	2393.4012278170608
C93L6	C93N2	0.2308375105033494	-0.03593317963700956	21	2447.544920306843
C93L6	C93P1a	0.16390343329122717	0.7184750081141557	21	1737.850207698258
C93L6	C93P1c	0.14684722233343694	0.7678688241794145	21	1557.0050651631773
C93L6	C93P1g	0.17742582887102795	0.7295775595665412	21	1881.2266916135134
C93N1	C93N2	0.06316187896015635	NA	21	669.6985064033743
C93N1	C93P1a	0.18438553511426348	NA	21	1955.0196970280808
C93N1	C93P1c	0.14583550708992601	NA	21	1546.2779588984602
C93N1	C93P1g	0.22404123720445174	NA	21	2375.4847765569707
C93N2	C93P1a	0.19759709444609638	-0.0379090986094786	21	2095.100418144205
C93N2	C93P1c	0.15955859680385098	0.055423069489763936	21	1691.7823808054222
C93N2	C93P1g	0.24333334173367752	-0.06265921163808963	21	2580.0368545081406
C93P1a	C93P1c	0.06418248500987973	0.9667655614661668	21	680.5198809156361
C93P1a	C93P1g	0.0673481786472545	0.9719776873084924	21	714.0853849124047
C93P1c	C93P1g	0.09549548339310227	0.9621247939006592	21	1012.5281839220085
C94L10	C94L11	0.14325538771283589	0.7990502486928998	25	1518.9212348486635
C94L10	C94L12	0.29813964005237553	0.2923705348580127	25	3161.1420516585167
C94L10	C94L2	0.22235441048761523	0.2891154751074294	25	2357.599537051361
C94L10	C94L3	0.1268859505150464	0.6973601385057654	25	1345.3578795067672
C94L10	C94L4	0.18899119243350462	0.6217930894025463	25	2003.8529787239477
C94L10	C94L5	0.1997989886657673	0.41838607418057766	25	2118.44686214569
C94L10	C94L6	0.11139924711172693	0.9429732651087879	25	1181.1540542080045
C94L10	C94L7	0.18944226323347751	0.795125898181961	25	2008.6356331667419
C94L10	C94L8	0.1350105041550557	0.7814965095522683	25	1431.501634687651
C94L10	C94L9	0.21586101714594436	0.8675845521045296	25	2288.750796418585
C94L10	C94N1	0.20605476831489142	NA	25	2184.7762107397975
C94L10	C94N2	0.2010102357518655	-0.054387281362994894	25	2131.28958275185
C94L10	C94N3	0.21754965000107057	-0.3724926117527536	25	2306.6551862112806
C94L10	C94P1b	0.28036616978149004	0.27688827551934286	25	2972.6918869392985
C94L10	C94P1d	0.20541568450057	0.30500414153024197	25	2178.000074833714
C94L10	C94P1e	0.25237934803366285	0.24582058515275465	25	2675.950671635672
C94L10	C94P1f	0.3339828763764238	0.28232089549641165	25	3541.1839729259405
C94L11	C94L12	0.18938792645490524	0.7084217021302357	25	2008.0595062361992
C94L11	C94L2	0.12653457231477533	0.7631259078449814	25	1341.6322548138621
C94L11	C94L3	0.09202794881060082	0.9399196163182588	25	975.7622933399985
C94L11	C94L4	0.10057436761648755	0.8977799657803492	25	1066.3790388141247
