	OM4_B_B_2	OM4_B_B_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_C_3A_1	0.0622627963199117	0.0363405772557951	0.0853657762619832	0.0834775478196688	0.0915430136766682	0.0662746328990655	0.0600899649496496	0.081708182584468	0.0521598713173182	0.0610253028466485	0.0573551437052693	0.0830547292316992	0.0881350320879233	0.0818026373413994	0.0832171393758008	0.0992048864378114	0.0732230103051678	0.0854670858577009	0.080568546549539	0.0928744977840533	0	0.0899199522210958	0.0550841877475251	0.0651371681478321	0.0616747585105724	0.0634552932354247	0.0817292497161013	0.0734222632853393	0.0926998012343427	0.07667481032124	0.0926388197124021	0.0955798873329964	0.0739732092451163	0.0588587941209652	0.0711646938580204	0.0577095480419269	0.0491814198515214	0.0829797987202463	0.0893168588267507
OM4_C_3A_2	0.0290553084212215	0.109224459581793	0.00707934464226587	0.00723361784799493	0.00387882111177832	0.0239378883596001	0.0325846850851823	0.0244212323518844	0.0393868769548841	0.0302079603882493	0.0388786714714769	0.0127648497617513	0.00210162733073333	0.00863442036668586	0.00731019507755366	0.0125009541246953	0.0168352855014104	0.00687032816405077	0.00939761698136102	0.0100147474667841	0.0899199522210958	0	0.0373043477417754	0.0281040274833376	0.0318017978941321	0.026904992352176	0.00943123078089547	0.0237082254249222	0.00287914880261916	0.0144709773117596	0.00299358948760215	0.0135485728696542	0.0192464078869048	0.0329532835136552	0.0211321976600963	0.0355883025270501	0.0453183125023106	0.00957083455856888	0.00654605868110279
OM4_C_3C_1	0.00830168936188451	0.0720819332523221	0.0347840680055757	0.0302016291105087	0.038026038089305	0.0141999355467186	0.0050506511598978	0.0272467679290845	0.00327278242725246	0.00724284402139845	0.00649677022047895	0.0283483422230553	0.0352821693213574	0.030569321555905	0.0318687490352667	0.0486541401086409	0.0224430705370482	0.03480552076135	0.0282314506365487	0.0383369518160759	0.0550841877475251	0.0373043477417754	0	0.0101109873827608	0.00661683858738491	0.0112952097202458	0.0281492090272046	0.0184297103942505	0.039814152501703	0.0229477555875963	0.0402640334686489	0.0407897636315957	0.0192549290815067	0.00436945460240963	0.0166385750848766	0.00289010290866	0.00823411876922992	0.0289422061643625	0.038818130458295
OM4_C_3C_2	0.00457030610151937	0.081402122148239	0.0266987582317044	0.020879817966476	0.0283978294870281	0.00856271844938341	0.00506465568943663	0.0180682702344636	0.0130175349043686	0.00542926545346497	0.0108464697375558	0.018298015822001	0.026024243220953	0.0224141104960821	0.0235586557912499	0.0400194664048994	0.0155578523730182	0.0266781677279318	0.0195750520364608	0.0283032676751916	0.0651371681478321	0.0281040274833376	0.0101109873827608	0	0.00376092354628907	0.00745132961374051	0.0187192484075011	0.00870294354257994	0.03043099528596	0.0136517636771195	0.0310958239818131	0.030691107416359	0.00928965379261304	0.00645387969746373	0.00697726487162092	0.00776871204578659	0.017482077446246	0.019221313930238	0.0305561463097705
OM4_C_3C_3	0.00490794050987827	0.0776600816628026	0.0301327603464302	0.0245887116695978	0.0321519801499795	0.0107567733604265	0.00194246695600131	0.0207667989639541	0.00973456947623122	0.00488960616767309	0.00737894155945271	0.0220136432748895	0.0297295371296595	0.0258479721554885	0.0270405824417053	0.0436183397872958	0.0185166803099225	0.0301235038642228	0.023130640640367	0.0320180786069584	0.0616747585105724	0.0318017978941321	0.00661683858738491	0.00376092354628907	0	0.00867892669429891	0.0224427470411678	0.0118151504795963	0.0341596623346945	0.0173356693722384	0.034791172781218	0.0343340872671216	0.0130458729724289	0.00396550562541341	0.0107048490174863	0.00405277533516087	0.0137231691293821	0.0229789892846185	0.0340493951189245
OM4_C_3D_1	0.0037898329233821	0.0829531376664786	0.023685338009875	0.0201327564504279	0.0282074049814813	0.00301617139806088	0.00799632274157196	0.0237347247547151	0.0127123703666504	0.00429467076199656	0.0154856854093562	0.0202200501374307	0.0249877421225014	0.0195519922521936	0.0209034296764058	0.0376996669224059	0.0111930183338437	0.0237223053997003	0.0175653586855203	0.0297144202046522	0.0634552932354247	0.026904992352176	0.0112952097202458	0.00745132961374051	0.00867892669429891	0	0.0183226358031567	0.0143266761493053	0.029586687783522	0.0132696437354801	0.0297840910323997	0.0327319783694693	0.0116549853190062	0.00715374239026173	0.00876715072398454	0.0107089895364463	0.0195118812579284	0.0196142027743389	0.0277527683418742
OM4_C_3D_2	0.0200088536471662	0.0999943995528592	0.0103215736937063	0.00222184032844633	0.00993656356323266	0.0155179954860414	0.0233192835818802	0.0175418185150249	0.0304204434138264	0.021204991947607	0.0294633060702835	0.00595605773576497	0.00733415356568014	0.00713852840899862	0.00732827780333427	0.0217089995741741	0.0103102404224986	0.0101938074290831	0.00406755404764735	0.0120300658193856	0.0817292497161013	0.00943123078089547	0.0281492090272046	0.0187192484075011	0.0224427470411678	0.0183226358031567	0	0.0146273855577893	0.0117225966470291	0.00520781958161887	0.0124210549036435	0.0155514274881972	0.0098314566465711	0.0238390115376044	0.0117434020308508	0.0262944340158638	0.0360511855785957	0.00220806731295797	0.0132281642093156
OM4_C_3D_3	0.0128419347994984	0.0878197929569009	0.0245158638032568	0.0168023244599098	0.0229228362770336	0.0136583812943975	0.0135407581697428	0.00951109493203542	0.0215231663560326	0.0139174126243685	0.0170353551012283	0.0117156098886721	0.0216347189076206	0.0205581287092452	0.0213002003059602	0.0361820588027117	0.0168452274877304	0.0244277823514045	0.0171823994797933	0.0213422861298404	0.0734222632853393	0.0237082254249222	0.0184297103942505	0.00870294354257994	0.0118151504795963	0.0143266761493053	0.0146273855577893	0	0.0254888342487455	0.0110137134603031	0.0266050981245504	0.0231417112352392	0.00577506483735	0.0151345567412583	0.00681272848681663	0.0157453478705062	0.0248479488520646	0.0141417381933658	0.0277924020539473
OM4_C_3E_2	0.0316083414389553	0.111655932972124	0.00960977366149113	0.00961865005436383	0.00308812458198373	0.0266423528905208	0.0350260911503682	0.0252154805593785	0.0419798368681059	0.0327791921982069	0.0411295608484516	0.0140869234028452	0.00460183751237603	0.0115081007848736	0.0101705816237728	0.0112798331368587	0.0196823064209146	0.00940987315590368	0.0121762191867601	0.00899669956577489	0.0926998012343427	0.00287914880261916	0.039814152501703	0.03043099528596	0.0341596623346945	0.029586687783522	0.0117225966470291	0.0254888342487455	0	0.0168890426786389	0.00196517342385773	0.0121110240210111	0.0213909551995788	0.035480993971427	0.0234598920070494	0.0380081178674052	0.0477579480657509	0.011446830708728	0.00807075582796854
OM4_C_3E_3	0.0148048008725758	0.0948516748736276	0.0136988681462718	0.00727581652054715	0.0151321564915658	0.0105961190703574	0.0181434909443016	0.0165935422996092	0.0252199669227327	0.0160050569819925	0.0244690760604708	0.00777986853501824	0.0124048768651324	0.00959830327909631	0.0104632593745374	0.0264351188302569	0.00757221671708529	0.0136337476871527	0.0063104360556013	0.0165341642061293	0.07667481032124	0.0144709773117596	0.0229477555875963	0.0136517636771195	0.0173356693722384	0.0132696437354801	0.00520781958161887	0.0110137134603031	0.0168890426786389	0	0.0174603817247851	0.0197438268347454	0.00541715930819031	0.0186327065937791	0.00670328611742357	0.021134786038499	0.0308834940456911	0.00634934107733653	0.0172688119026741
OM4_C_3G_1	0.0320041609619031	0.112181811041162	0.00846792284446391	0.0102268136462622	0.00493611634462444	0.0268017681024828	0.0355629250284174	0.0268380631600614	0.0423124854869385	0.0331487619716548	0.0418699697137404	0.0154463402906913	0.00508716621923602	0.0110129934247586	0.00961218866221093	0.00973570152746411	0.019488425574141	0.00828403724336861	0.0122288631544068	0.0109577894427414	0.0926388197124021	0.00299358948760215	0.0402640334686489	0.0310958239818131	0.034791172781218	0.0297840910323997	0.0124210549036435	0.0266050981245504	0.00196517342385773	0.0174603817247851	0	0.0140602550817657	0.0222271696526593	0.0359090944833592	0.0241249146822947	0.0385694098528427	0.0482931577970099	0.0124694051325546	0.00634008397396743
OM4_C_3G_2	0.0334403098574191	0.11077203413776	0.0203163219526522	0.0148353825544039	0.00967629768177833	0.0302624232160931	0.0357428954404091	0.0184046846743394	0.0435673174284814	0.0346789375803508	0.0401652783790033	0.0125974916185124	0.0133380889423719	0.0201641507898203	0.0192946285244921	0.0217759369719974	0.0258500082601179	0.0201045981435694	0.0187297693282271	0.00379022199607111	0.0955798873329964	0.0135485728696542	0.0407897636315957	0.030691107416359	0.0343340872671216	0.0327319783694693	0.0155514274881972	0.0231417112352392	0.0121110240210111	0.0197438268347454	0.0140602550817657	0	0.0216837204209333	0.0368416736130298	0.0245194422964588	0.0383833951552259	0.0478461956234965	0.0136225281355863	0.0199700135023017
OM4_C_3H_1	0.011782599089273	0.090598514834842	0.0191063775063238	0.0120510392565076	0.0191998725963573	0.00991177234623824	0.014231634832552	0.0132167813933184	0.0219240244516351	0.0130189731816175	0.0197716264236163	0.00912495520052874	0.0171453845708355	0.015012262690321	0.0158709379287437	0.0315140762235265	0.0112169807979313	0.0190369308366423	0.0117178811138029	0.0190933710890553	0.0739732092451163	0.0192464078869048	0.0192549290815067	0.00928965379261304	0.0130458729724289	0.0116549853190062	0.0098314566465711	0.00577506483735	0.0213909551995788	0.00541715930819031	0.0222271696526593	0.0216837204209333	0	0.0151878242107287	0.00292471554077434	0.017051741939999	0.0267666042604174	0.0100179521450621	0.0226052396987088
