	OM4_B_B_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4F_3
OM4_C_2D_1	0.0338547796389151	0.0629656590619509	0.0471744979206305	0.114036912631829	0.105544615287567	0.0359085305569673	0.0248260167132242	0.0100308194980426	0.0449286705080253	0.040588002753994	0.0386094506981161	0.0162258951952297	0.0115192745454206	0.00624179881601178	0.0193289136619403	0.00910914832807765	0.0143236666995477	0.00871652783207265	0.0115696695523258	0.0225351524641068	0	0.0109016793528861	0.0318093821227561	0.0432205495015227	0.00289355924024073	0.00356906778351017	0.00782913107760378	0.0613490470791991	0.0647728442452991	0.0447978612429723	0.0457036338337422	0.0145756229747819	0.0133726481115781	0.00612278058582384	0.0137417353521917	0.0167046630455113	0.008123440613481	0.00208585436435075	0.0142159556544912	0.00984919707458659	0.0104493559630273	0.0100169752334606	0.0091487358017494	0.0137724390440462	0.00950946457663757
OM4_C_2D_2	0.0323061136077211	0.0623338801804162	0.0472387737444772	0.114548679781438	0.105677093623749	0.0341002338515922	0.0237736817523524	0.00857150829772209	0.0464776232221502	0.0409112910550933	0.0388131226552915	0.0117334159856633	0.00886075126650102	0.00508424718787018	0.0132740704178106	0.0165459824140164	0.00794087254959229	0.00526014952700247	0.0127910731905114	0.019382783145235	0.0109016793528861	0	0.0307701032271518	0.0415191879489423	0.00948070450486964	0.00897211347973431	0.00455811965946713	0.0605401943178932	0.0638036398388959	0.0442519647939642	0.0459089926226061	0.00469667086993859	0.00816304960213803	0.0102651304063995	0.00799189434751708	0.0158498469224142	0.00679061719219706	0.0114881555657311	0.011259185740548	0.0189668698660475	0.0152131508396291	0.00430146868219169	0.00985437449390643	0.00543286474542024	0.0102144743327568
OM4_C_2E_2	0.0628676225175179	0.0928097629569282	0.0775302470758719	0.144680641313284	0.135984157015234	0.0645894581239281	0.0542229482037015	0.0255992434493524	0.0761142597967622	0.0710986988760511	0.0690218900660202	0.0424778446349974	0.0384089230823134	0.0308068280163443	0.0201142201214907	0.0327566315670874	0.0247122207134485	0.0342483228047683	0.0210453696796385	0.0123222181238294	0.0318093821227561	0.0307701032271518	0	0.0115421191387296	0.0329988623510269	0.0296928268474195	0.0323921932056481	0.0911030329582572	0.0944129954759609	0.0746928693751591	0.0761822073407463	0.0284137108708565	0.0230217795983617	0.0360515863502818	0.0386207684970534	0.0167438237129103	0.0345044151023354	0.0327301756849473	0.0208633093805569	0.0408376242633429	0.0222212687466416	0.0345186212007689	0.0256687456055786	0.0353871096743503	0.0260236648780257
OM4_C_2E_3	0.073740679311973	0.103699769453694	0.088434692903187	0.155534273131691	0.146852777808115	0.0754292363617666	0.0651497319328052	0.0368821360887745	0.0873333093640719	0.0820903065633514	0.0799933405097226	0.0531960670780968	0.0492334062843893	0.0420372644178638	0.0302145024815823	0.0442392004259776	0.0349554955292873	0.0453554559652101	0.0321670701929399	0.022870797305893	0.0432205495015227	0.0415191879489423	0.0115421191387296	0	0.0444220269352571	0.0409476345361355	0.043344937574271	0.101812893179126	0.105170242426234	0.0854914656027106	0.0871600329792738	0.0387868464847078	0.0336417369171837	0.0474586036093835	0.0492846421860628	0.0280885977834314	0.0454380261947075	0.0442081296765072	0.0314685395197853	0.0522281275261352	0.0337177513943757	0.0453831954948986	0.0365504475404874	0.0460327114820758	0.0368154034716519
OM4_C_2G_1	0.0317113545815294	0.0610368561272345	0.0455900887166667	0.112550853364172	0.103901959217812	0.0336684460382282	0.0229072514317847	0.00933368278901348	0.0433733434519873	0.0389799380598891	0.0369962399384472	0.0140503243205983	0.0100854054730611	0.00462408922453379	0.018856922620678	0.00883388782566775	0.0144284282901005	0.00627371199254372	0.0131185043777841	0.0229637642945012	0.00289355924024073	0.00948070450486964	0.0329988623510269	0.0444220269352571	0	0.00506071771061653	0.00687634107121353	0.0596388984320781	0.0629040482252742	0.0431502045138654	0.0440610196861789	0.0132539529374684	0.0135418920884971	0.00349278463729821	0.0118112311471289	0.0171965201334106	0.00729841413882129	0.00227026918205033	0.0150652455504809	0.0102834114530726	0.012010005019759	0.00826947371514159	0.0105636233792504	0.0114611629154896	0.0109807638759261
OM4_C_2G_2	0.03513359576441	0.0645574717414101	0.0485588751132119	0.115671903028321	0.107202497316936	0.0372264756386699	0.0258822292551046	0.00915046046081902	0.0468572413509067	0.0420507004449012	0.0400124972661772	0.0161621698602598	0.0109132849125458	0.00545544315642278	0.0172124386811326	0.0119231615133696	0.0110255809041206	0.00859901430429199	0.00889373213273701	0.0203677065090258	0.00356906778351017	0.00897211347973431	0.0296928268474195	0.0409476345361355	0.00506071771061653	0	0.00596980518047829	0.0626092571687646	0.0661689450103566	0.0460002603700401	0.0472000879450831	0.012493885389445	0.0103066059677025	0.00826294120412121	0.0129922781894978	0.0151545029561454	0.00678997632667136	0.00543701077711848	0.0109929176688013	0.0128087189704938	0.00980203741698538	0.00887130213249525	0.00570305009618395	0.0129704101616477	0.00604821518465222
OM4_C_2G_3	0.0311645443455698	0.0609804216806431	0.0452200031865812	0.112593538022373	0.10395421384695	0.0331988730268349	0.0220224958405702	0.0102366596513623	0.0442573480451141	0.0388261646713846	0.0367274345279218	0.0109874900740979	0.00611272104192851	0.00433082319863376	0.0167872063214304	0.0153313373032932	0.00965539876420116	0.00490622996892404	0.0124181697543217	0.0218349469568202	0.00782913107760378	0.00455811965946713	0.0323921932056481	0.043344937574271	0.00687634107121353	0.00596980518047829	0	0.0588996985723149	0.0624160394061114	0.0423827563711521	0.0439317326619316	0.009143152204144	0.0100340146464371	0.00797116874234416	0.0073437644406428	0.017602160258626	0.00252325768710918	0.00881082031304906	0.0121293268348812	0.0151573560546857	0.0146579014012515	0.00318547091890116	0.00832931083985073	0.00786971262645664	0.00849340270044946
OM4_C_3A_1	0.029160206633126	0.00906649930984693	0.0145168481855587	0.0545944266479077	0.045729667572724	0.0282118225992985	0.0370753191414902	0.0666255800780755	0.0197868688956254	0.0209999620310118	0.0228585823637901	0.0488390165493976	0.0529242451282425	0.0607548976302252	0.0729544413911771	0.0641686941280798	0.0670701559923876	0.0572618867152486	0.0710077129533825	0.0797913111587284	0.0613490470791991	0.0605401943178932	0.0911030329582572	0.101812893179126	0.0596388984320781	0.0626092571687646	0.0588996985723149	0	0.00614241151839798	0.0166691084341236	0.0160735616060287	0.0636657695596172	0.0683022576753262	0.0566035199811299	0.0526764802959051	0.0754962175787248	0.0569837149947703	0.0607704865018655	0.0706914982984525	0.0557536613783811	0.0715985711997672	0.0566780408793362	0.0664578887263828	0.0564785141191195	0.0663066187668593
OM4_C_3A_3	0.0317691188967595	0.00472354644628761	0.0187602946689565	0.0519480977600653	0.0423936623621567	0.0303713335083403	0.040453537362488	0.0695886019948735	0.0225487244375763	0.0247755015461391	0.0266667990046646	0.0521235538917361	0.0565575538907483	0.0639782019674478	0.0758624054410282	0.0669439070012074	0.0706277122257215	0.0603899640529807	0.0745967197921406	0.0828678224713288	0.0647728442452991	0.0638036398388959	0.0944129954759609	0.105170242426234	0.0629040482252742	0.0661689450103566	0.0624160394061114	0.00614241151839798	0	0.0209009890777105	0.0197530839606564	0.0667338046097278	0.0717329925047301	0.0597305155837812	0.056073290365853	0.0785330609558155	0.0606269120346995	0.0640444378450733	0.0742821666718929	0.0592507539812421	0.0748809948916271	0.060056778463565	0.0701930097048664	0.05946193897597	0.0700994042855303
OM4_C_3B_1	0.0141575221376335	0.0204662354825835	0.00379946255598693	0.070560321607471	0.0619265941906074	0.0143050955719664	0.0206799935579168	0.0503443019279238	0.0104638399274531	0.00536127431523015	0.0066290884755692	0.0326243699510904	0.0364038780887978	0.0443161990397546	0.056956468158942	0.0481062293070775	0.0507464865589827	0.0409210629069892	0.0544198125568515	0.0635595676789319	0.0447978612429723	0.0442519647939642	0.0746928693751591	0.0854914656027106	0.0431502045138654	0.0460002603700401	0.0423827563711521	0.0166691084341236	0.0209009890777105	0	0.00422703008541948	0.0476295447519743	0.0519300781056129	0.0402056930963505	0.0363901762720657	0.0591600922630712	0.0404112604639546	0.0442987557438663	0.0542261632945329	0.0395085760363136	0.0550872719483886	0.0402759007708133	0.0498605464318918	0.0404667751050826	0.0497087884035624
OM4_C_3B_3	0.0152557350339093	0.0185826339177345	0.00243409604936309	0.0688986286875058	0.0602048723181861	0.0151536005282582	0.022149356976827	0.0514799805498809	0.00652108348388981	0.00518343575932049	0.00726376718537894	0.0343962394072469	0.0380944047388041	0.0455607001057495	0.0585624522519297	0.0483529854275987	0.0526488445232519	0.0422204456740907	0.0558140496602054	0.06507325828385	0.0457036338337422	0.0459089926226061	0.0761822073407463	0.0871600329792738	0.0440610196861789	0.0472000879450831	0.0439317326619316	0.0160735616060287	0.0197530839606564	0.00422703008541948	0	0.0493803436176982	0.0536496386416893	0.0410313177123474	0.0382124473305649	0.0603713027814961	0.041968228627274	0.0450577280931601	0.0559343737055893	0.039773189518406	0.056004530648521	0.0418881691225681	0.0513872519580007	0.0421038583275984	0.0512723686109704
